"activity_goals_outcomes","activity_name","activity_type","attended_people","budget","company_name","description","end_date","feedback_mechanism","frequency_of_recurrence","id","is_recurring","key_partners_sponsors","location","number_of_participants_expected","resources_needed_provided","rsvpd_list","start_date","success_metrics","target_audience"
"Soldier young increase energy argue send avoid go happen experience factor.","Focused object-oriented superstructure","Community Outreach","AM-2024-XN5Y, MG-2024-D514, CR-2024-Q71O, BW-2024-SJYX, CS-2024-GR5Z, MS-2024-YGWM, JM-2024-433E, AB-2024-09GP, MC-2024-JYNA, JM-2024-UHU8, AF-2024-4TSP","$85121","Lee, Mueller and Cruz","Idea opportunity during although suggest art join can probably have.","2025-01-21T17:25:55.653384","Feedback Form","","ACT-1734445555-JXLGFO","False","","Virtual (Online)","442","","KP-2024-IPVJ, CR-2024-Q71O, DY-2024-BCS1, BW-2024-SJYX, MG-2024-D514, AN-2024-1GK5, MB-2024-QBCP, CS-2024-GR5Z, ES-2024-FHNM, JM-2024-433E, MC-2024-JYNA, JM-2024-UHU8, AB-2024-09GP, AM-2024-XN5Y, AF-2024-4TSP, MS-2024-YGWM","2025-01-16T17:25:55.653384","Number of participants, Engagement levels","Youth"
"Some sign sense traditional worker decision research check spend democratic feeling.","Diverse global ability","Networking","JG-2024-S7BV, MN-2024-47CY, EB-2024-WR89, SN-2024-M310, DM-2024-GAYU, JN-2024-BT5H","$59117","Ortiz, Gilbert and Phillips","Spend station note woman current individual everybody want result now.","2025-01-12T17:25:55.653803","","","ACT-1734445555-8Q6WYO","False","Riley-Drake, Haas-Walker","Virtual (Online)","113","Training materials, Equipment, Refreshments","WP-2024-LR67, EB-2024-WR89, SZ-2024-9DYK, MM-2024-I2GZ, AR-2024-5IVP, DM-2024-GAYU, SB-2024-0X44, TH-2024-E7SX, EJ-2024-OYRN, JG-2024-S7BV, GM-2024-PCWL, JN-2024-BT5H, SN-2024-M310, MB-2024-A9ZU, AH-2024-BT3Q, MW-2024-JLPP, WL-2024-B3DB, MN-2024-47CY, LH-2024-1O6L, JB-2024-5NLJ","2025-01-08T17:25:55.653803","Number of participants, Engagement levels","Customers"
"Center discuss heart base like scene choose worry Congress happy necessary million five.","Sharable mission-critical matrices","Training Session","AF-2024-4TSP, AC-2024-ECLV, JM-2024-UHU8, KG-2024-IWWZ, CP-2024-HOH4, SM-2024-WOD5, DB-2024-DM37, JS-2024-ARHT, EB-2024-TE9N, WR-2024-PMNT","$59772","Martinez PLC","Approach major build two education continue civil watch once identify despite sense start weight.","2024-12-24T17:25:55.655404","Feedback Form","","ACT-1734445555-2TV2QY","False","Cruz, Flores and Adams, Campos Group","Virtual (Online)","15","Training materials, Equipment, Refreshments","AC-2024-ECLV, SM-2024-WOD5, JM-2024-UHU8, WR-2024-PMNT, DR-2024-MYGB, KG-2024-IWWZ, JS-2024-ARHT, DB-2024-DM37, EB-2024-TE9N, SW-2024-R8I9, SR-2024-P9R6, SS-2024-1P14, CP-2024-HOH4, JA-2024-5MRU, AF-2024-4TSP","2024-12-22T17:25:55.655404","Number of participants, Engagement levels","Customers"
"Across institution become grow fear carry protect.","Front-line multi-tasking software","Social Responsibility","BW-2024-SJYX, ES-2024-FHNM, AP-2024-NEXE, JF-2024-QH29, JP-2024-6KQM, AR-2024-D87L","$3553","Williams-Harris","Message natural whole to only box finish notice situation both us water majority spend.","2024-12-28T17:25:55.656025","Survey","Ad Hoc","ACT-1734445555-UPXV3V","True","Lutz and Sons, Burns-Preston, Davis, Pierce and Higgins","7596 Melissa Fields Apt. 263, Loriland, IL 89188","144","Training materials, Equipment, Refreshments","VN-2024-VDLC, VS-2024-IFRK, RB-2024-GWBP, ES-2024-FHNM, AG-2024-VJE5, JF-2024-QH29, AP-2024-NEXE, JM-2024-UHU8, JD-2024-NCYG, MF-2024-848N, CM-2024-IAE2, BG-2024-FN4U, JP-2024-6KQM, AP-2024-2ZBO, CH-2024-6AAT, BW-2024-SJYX, AH-2024-4ZZH, MM-2024-IW8V, AR-2024-D87L","2024-12-24T17:25:55.656025","Number of participants, Engagement levels","Partners"
"Cell degree hear everything drop foot skill hotel you in.","Seamless uniform structure","Networking","DB-2024-QL46, JM-2024-VP8S, RY-2024-Q7S0, JG-2024-89LS, VN-2024-VDLC, JH-2024-9Z6L, SL-2024-DERE, MD-2024-HSSU, DB-2024-RUOH, AL-2024-I60V","","Smith Ltd","Bag arrive time true them resource whether marriage type notice sister federal catch role nature.","2024-12-28T17:25:55.657179","","Monthly","ACT-1734445555-1D4849","True","Smith-Moran, Key, Anderson and Johnson","Virtual (Online)","16","","RY-2024-Q7S0, JM-2024-VP8S, DB-2024-RUOH, LH-2024-GHX4, CJ-2024-MMMI, LY-2024-3KNY, SL-2024-DERE, MD-2024-HSSU, DG-2024-5QAH, BC-2024-NNZA, JH-2024-9Z6L, DB-2024-QL46, AL-2024-I60V, DS-2024-HYG3, MB-2024-8JUB, JG-2024-89LS, DC-2024-JU5A, VN-2024-VDLC, MR-2024-0JKL, SM-2024-CF9F","2024-12-26T17:25:55.657179","Number of participants, Engagement levels","Youth"
"Note gas lot stock fear message manager concern home.","Ergonomic attitude-oriented installation","Training Session","TB-2024-A3TO, BJ-2024-W9X3, DP-2024-YNUL, MP-2024-5QLN","","Williams-Lloyd","Color whom true much writer until cause almost believe for raise other nothing you ground full.","2025-01-10T17:25:55.658001","","Annually","ACT-1734445555-FS8H8O","True","Yates-Barajas, Rodriguez Group","47286 Sara Turnpike, Williamtown, OK 26651","81","","AA-2024-EH74, DP-2024-YNUL, MP-2024-5QLN, TB-2024-A3TO, BJ-2024-W9X3, EZ-2024-EN0N, SC-2024-6CR8, RL-2024-A8DL, SB-2024-AA1H","2025-01-07T17:25:55.658001","Number of participants, Engagement levels","Public"
"Better general detail garden safe total authority according wrong.","Distributed value-added adapter","Social Responsibility","AB-2024-A9ZC, AS-2024-JU7F, EB-2024-TE9N, SH-2024-H3H2, WB-2024-V5YP, JB-2024-HGD3, CD-2024-VOH3, MG-2024-XGKG, PK-2024-16S3, SM-2024-2SG7, CM-2024-KU2S, BM-2024-EZ00, CC-2024-ECT5, JC-2024-KWKI, VM-2024-QWFY, CB-2024-3HV3, CB-2024-JJYL","","Hunter, Lewis and Bates","They system list like through successful a wide should knowledge tonight last.","2024-12-29T17:25:55.659134","Survey","Ad Hoc","ACT-1734445555-FZ1SR4","True","","Virtual (Online)","239","Training materials, Equipment, Refreshments","CB-2024-3HV3, CC-2024-ECT5, VM-2024-QWFY, AB-2024-A9ZC, SZ-2024-9DYK, JB-2024-HGD3, BM-2024-EZ00, CP-2024-XGY3, EB-2024-TE9N, SH-2024-H3H2, VH-2024-04K3, PK-2024-16S3, AS-2024-JU7F, SM-2024-2SG7, WB-2024-V5YP, CM-2024-KU2S, JC-2024-KWKI, MG-2024-XGKG, CB-2024-JJYL, CD-2024-VOH3","2024-12-27T17:25:55.659134","Number of participants, Engagement levels","Youth"
"Thousand a me allow bag oil opportunity ago.","Realigned didactic firmware","Training Session","CM-2024-KU2S, SH-2024-AJ0Y, CP-2024-HOH4, DH-2024-G0LX, SZ-2024-9DYK, AA-2024-CPO2, WB-2024-LCSN","$42321","Cox Inc","Plant investment perhaps others full western town event defense like evidence daughter quite available we house there authority beautiful.","2024-12-29T17:25:55.659359","Survey","Daily","ACT-1734445555-6C95GZ","True","Brown, Hudson and Richardson, Andrews-Castaneda, Shaw-White","Virtual (Online)","97","Training materials, Equipment, Refreshments","CP-2024-HOH4, WB-2024-LCSN, DH-2024-G0LX, SH-2024-AJ0Y, AA-2024-CPO2, SZ-2024-9DYK, CM-2024-KU2S","2024-12-27T17:25:55.659359","Number of participants, Engagement levels","Employees"
"Partner prevent TV hand treatment exactly a other public table.","Extended static model","Workshop","DD-2024-T4FO, MS-2024-4ASJ, SS-2024-UWWA, MN-2024-47CY, MS-2024-1C33, CR-2024-5Y26, KC-2024-FQYN, EB-2024-TE9N, CG-2024-HXRR, WB-2024-IZUN","$86659","Smith, Martin and Cross","Lay attack police model approach pressure maintain place least experience system state.","2025-01-10T17:25:55.660281","Feedback Form","","ACT-1734445555-SB31ZX","False","Harris, Prince and Thompson, Watson Inc, Brown, Chandler and Lozano","Virtual (Online)","183","Training materials, Equipment, Refreshments","DD-2024-T4FO, CR-2024-5Y26, EB-2024-TE9N, AM-2024-XN5Y, AO-2024-W5XF, KC-2024-FQYN, WB-2024-IZUN, SS-2024-UWWA, MS-2024-4ASJ, KB-2024-32DR, MN-2024-47CY, AP-2024-SM56, MS-2024-1C33, CG-2024-HXRR, JM-2024-433E, CB-2024-SUPU","2025-01-09T17:25:55.660281","Number of participants, Engagement levels","Public"
"Win report part trade to cold analysis local before course phone.","Ergonomic interactive conglomeration","Training Session","EZ-2024-EN0N, DS-2024-8B3I, ST-2024-GO2P, EH-2024-GGI0, JH-2024-ZVR7, AH-2024-VI7O, JN-2024-UF7C, MC-2024-Q9K7, DF-2024-MBMA, LL-2024-YTJY","","Huynh, Duarte and Kelly","Campaign easy grow gas question condition officer rule amount force question bag single.","2025-01-07T17:25:55.661284","Survey","","ACT-1734445555-HSYQ2V","False","Herman, Stevenson and Colon, Frey, Boyd and Rodriguez","98512 Duarte Mall, North Markberg, CO 57704","379","","MC-2024-Q9K7, EZ-2024-EN0N, AH-2024-VI7O, LL-2024-YTJY, EH-2024-GGI0, ST-2024-GO2P, DF-2024-MBMA, DS-2024-8B3I, JN-2024-UF7C, JH-2024-ZVR7","2025-01-04T17:25:55.661284","Number of participants, Engagement levels","Volunteers"
"Create week candidate key direction fill interview ago task.","Balanced zero tolerance budgetary management","Training Session","MN-2024-QS81, RG-2024-GVUI","$42231","Chavez, Kramer and Taylor","Recent discover story general owner federal reflect threat across.","2024-12-28T17:25:55.662279","","","ACT-1734445555-75XEEM","False","Rowland LLC, Rogers-Mcdonald, Morrow-Wilson","Virtual (Online)","265","Training materials, Equipment, Refreshments","RG-2024-GVUI, MN-2024-QS81","2024-12-26T17:25:55.662279","Number of participants, Engagement levels","Partners"
"Notice throw all ball themselves scene yet.","Operative even-keeled migration","Social Responsibility","LL-2024-YTJY, JY-2024-RNQQ","","Williams-Lloyd","Example production knowledge better world physical stand fire dog finally no both tree church live sit how firm force.","2024-12-20T17:25:55.662890","","","ACT-1734445555-NNLSV9","False","","Virtual (Online)","499","Training materials, Equipment, Refreshments","MM-2024-0DDH, EM-2024-5LYI, DM-2024-HE1P, MM-2024-SI99, WL-2024-B3DB, FB-2024-EDUX, AB-2024-3TVO, JG-2024-S7BV, JY-2024-RNQQ, CH-2024-ZKB3, CM-2024-IAE2, BH-2024-DZSU, AL-2024-I60V, SF-2024-WRA6, MM-2024-PPW8, LL-2024-YTJY, AN-2024-454O, LM-2024-1EHO","2024-12-19T17:25:55.662890","Number of participants, Engagement levels","Customers"
"Drive economy blue dinner option kitchen wish enough allow.","Implemented motivating capacity","Training Session","MB-2024-8ABR, DB-2024-RP3T, RN-2024-4TPG, HB-2024-858T, CR-2024-SHEM, JF-2024-ZOSM, WH-2024-Y3CV, VF-2024-U53D","","Page, Skinner and Strong","Paper not nature set learn them firm wait child spring population.","2025-01-09T17:25:55.662988","Feedback Form","","ACT-1734445555-7FXS9T","False","","453 Richard Stravenue Suite 435, Danielbury, GU 83188","232","Training materials, Equipment, Refreshments","SG-2024-5HEH, CR-2024-SHEM, JF-2024-ZOSM, WH-2024-Y3CV, VF-2024-U53D, DB-2024-RP3T, HB-2024-858T, RN-2024-4TPG, MB-2024-8ABR, CB-2024-S8TU, EJ-2024-OYRN","2025-01-04T17:25:55.662988","Number of participants, Engagement levels","Customers"
"Everybody investment sea phone specific myself kind sit serious ten across until about.","Organized intermediate matrices","Product Launch","JZ-2024-3PHW, BP-2024-AQA1, MB-2024-DZUD, JH-2024-XDRC, DM-2024-NFNM, WS-2024-A2JZ, HS-2024-H0J4, TB-2024-A3TO","","Davies, Evans and Martinez","Yet himself memory beyond smile town prove bank business expect near war travel spring charge eat ahead.","2024-12-29T17:25:55.663290","Feedback Form","","ACT-1734445555-PIL0HH","False","Wolf, Baker and Martinez, Lopez LLC, Vincent-Morales","640 Thompson Cape, Goldenchester, AR 51099","55","Training materials, Equipment, Refreshments","JH-2024-XDRC, DM-2024-NFNM, BP-2024-AQA1, HS-2024-H0J4, WS-2024-A2JZ, MB-2024-DZUD, TB-2024-A3TO, JZ-2024-3PHW","2024-12-24T17:25:55.663290","Number of participants, Engagement levels","Public"
"Maintain last gas miss exactly each nature.","Versatile radical synergy","Product Launch","ML-2024-SVVG, JA-2024-5MRU, MN-2024-QS81, MN-2024-8RPN, EL-2024-MBAV, BC-2024-NNZA, WR-2024-RY8C, NR-2024-JP6I, SC-2024-FAL5, VT-2024-X9JD, SW-2024-ZI8Y, AR-2024-QOVC","","Carroll, Stevens and Perry","Accept yard able best room just network name beyond cell happy writer fast anyone ten news poor same.","2025-01-12T17:25:55.664109","Survey","","ACT-1734445555-B9G6CX","False","White Inc","620 Patel Meadow Suite 960, Ashleyborough, NJ 20920","237","","SC-2024-FAL5, MN-2024-8RPN, VT-2024-X9JD, MN-2024-QS81, SZ-2024-RO85, EL-2024-MBAV, SW-2024-ZI8Y, NR-2024-JP6I, AR-2024-QOVC, BC-2024-NNZA, TP-2024-P27U, SD-2024-D0LK, JA-2024-5MRU, AB-2024-A9ZC, WR-2024-RY8C, ML-2024-SVVG","2025-01-09T17:25:55.664109","Number of participants, Engagement levels","Youth"
"Teach no talk interview debate tend central expert theory cause ground.","Sharable global attitude","Recruitment","CB-2024-12Y8, MC-2024-6WSG, GG-2024-4CP9, WG-2024-UK2P, JT-2024-KR2N, CG-2024-ASBT, JN-2024-KA33, GA-2024-R0FV","$40293","Ray Group","Sell begin home fine avoid life focus why base.","2025-01-11T17:25:55.664495","Feedback Form","","ACT-1734445555-6NK7CA","False","","Virtual (Online)","173","Training materials, Equipment, Refreshments","GG-2024-4CP9, MS-2024-YGWM, MC-2024-6WSG, GA-2024-R0FV, JN-2024-KA33, WG-2024-UK2P, MC-2024-34IO, TP-2024-39OO, KT-2024-DKTL, JY-2024-RNQQ, LP-2024-U82X, CG-2024-ASBT, LM-2024-1EHO, JT-2024-KR2N, SS-2024-1P14, CB-2024-12Y8","2025-01-06T17:25:55.664495","Number of participants, Engagement levels","Employees"
"Expect half quickly almost result truth seem if hotel success travel find.","Multi-lateral homogeneous synergy","Training Session","NG-2024-7Q1E, ML-2024-SVVG, JM-2024-NTUY, VR-2024-5CWP","","Smith Ltd","Nation poor land prevent list four a level then card hand sort.","2025-01-04T17:25:55.664565","","Ad Hoc","ACT-1734445555-QXY2ZG","True","Swanson, Chase and Nolan, Long, Ruiz and Thomas, Bennett PLC","Virtual (Online)","224","Training materials, Equipment, Refreshments","DF-2024-XCW2, JM-2024-NTUY, DS-2024-8B3I, MM-2024-BSVD, DH-2024-HHEO, JT-2024-YVAV, JW-2024-FBW7, CS-2024-9AXS, EA-2024-C05S, VR-2024-5CWP, DN-2024-2H3R, ML-2024-SVVG, SS-2024-1P14, CS-2024-GR5Z, WB-2024-80AA, NG-2024-7Q1E","2025-01-03T17:25:55.664565","Number of participants, Engagement levels","Volunteers"
"Public back ahead baby call where third.","Automated neutral customer loyalty","Employee Engagement","","","Richardson, Powell and Franklin","Tonight machine side drop such institution list religious lawyer career food take week necessary at.","2025-01-08T17:25:55.665330","Feedback Form","","ACT-1734445555-KLH3PL","False","Austin Inc, Pineda, Medina and Roth, Powell, Smith and Rodriguez","Virtual (Online)","303","","MH-2024-0XKP, TD-2024-HFJP, SH-2024-H3H2, SS-2024-BC82, EA-2024-C05S, JR-2024-XN5C, MB-2024-8ABR, SG-2024-1YRM, EB-2024-WR89","2025-01-05T17:25:55.665330","Number of participants, Engagement levels","Customers"
"Rate continue them son early central mouth serious hand guy Democrat among.","Synergized context-sensitive ability","Social Responsibility","RY-2024-Q7S0, MM-2024-6D76, RB-2024-PKBP, BC-2024-NNZA, AF-2024-OR8C","$42522","Medina, Ellis and Johnson","Trip situation contain six mouth agree effort beyond road half never paper at on suddenly ago worker force no.","2024-12-30T17:25:55.666020","","","ACT-1734445555-ND4QI7","False","","Virtual (Online)","182","","RY-2024-Q7S0, BG-2024-FN4U, AF-2024-OR8C, VB-2024-KTI1, MM-2024-6D76, CS-2024-GR5Z, BC-2024-NNZA, RB-2024-PKBP, DN-2024-YBSQ","2024-12-25T17:25:55.666020","Number of participants, Engagement levels","Students"
"Participant or federal trial only article together amount city minute central fact central exactly.","Realigned discrete analyzer","Workshop","CG-2024-R5OR, CB-2024-I39A, WR-2024-RY8C, CJ-2024-MMMI, SS-2024-AMW9, TM-2024-LW1H, VC-2024-XEBK, BT-2024-9QYG, CH-2024-1BJ6, WH-2024-Y3CV, DH-2024-KVX7","$90604","Frazier Ltd","Short seem win four whom room policy college spend.","2025-01-02T17:25:55.666097","","","ACT-1734445555-ID0JIC","False","","Virtual (Online)","79","Training materials, Equipment, Refreshments","DH-2024-KVX7, LM-2024-1EHO, WR-2024-RY8C, BT-2024-9QYG, MN-2024-8RPN, JB-2024-J6LA, CJ-2024-MMMI, CG-2024-R5OR, SS-2024-AMW9, WH-2024-Y3CV, CH-2024-1BJ6, CB-2024-I39A, VC-2024-XEBK, KC-2024-7Z9R, TM-2024-LW1H, CP-2024-HOH4","2024-12-30T17:25:55.666097","Number of participants, Engagement levels","Students"
"Medical series off open admit current detail at six stop face thing.","Self-enabling dynamic circuit","Recruitment","AS-2024-YGBQ, EL-2024-MBAV, AB-2024-A9ZC, JT-2024-KR2N","","Scott Ltd","Finally figure participant lay mother work interesting war compare suddenly memory sense goal debate economic particular.","2024-12-21T17:25:55.666179","Survey","Monthly","ACT-1734445555-NEW9Z7","True","Ward, Holland and Owens, Woodard-Shaffer","995 Teresa Station, Christinafurt, NE 11546","132","","AP-2024-SM56, EL-2024-MBAV, AB-2024-A9ZC, JT-2024-KR2N, AS-2024-YGBQ","2024-12-18T17:25:55.666179","Number of participants, Engagement levels","Public"
"Very term red against trial second yourself down writer institution value close.","Ameliorated real-time data-warehouse","Training Session","KT-2024-DKTL, BJ-2024-W9X3, JY-2024-7MJB, SH-2024-AJ0Y, JG-2024-3HFD, DS-2024-9TFV, EL-2024-MBAV, GG-2024-I4AG, HS-2024-H0J4, MB-2024-A9ZU, FB-2024-EDUX, VB-2024-KTI1, BB-2024-YF1M","$5138","Fisher LLC","Series while mission old determine direction present happen generation.","2025-01-04T17:25:55.666849","Survey","","ACT-1734445555-ULGMK2","False","Woodard-Reilly","27997 Logan Branch Apt. 144, Lake Robertport, AR 00842","246","Training materials, Equipment, Refreshments","GG-2024-I4AG, BJ-2024-W9X3, FB-2024-EDUX, EL-2024-MBAV, JG-2024-3HFD, JY-2024-7MJB, VB-2024-KTI1, KT-2024-DKTL, MB-2024-A9ZU, SH-2024-AJ0Y, HS-2024-H0J4, DS-2024-9TFV, BB-2024-YF1M","2024-12-31T17:25:55.666849","Number of participants, Engagement levels","Youth"
"Board dinner how near poor probably then discuss interest.","Stand-alone local standardization","Community Outreach","KK-2024-FFT6, CB-2024-1ZGW, SG-2024-W0O0, EH-2024-WHQJ","","Ferrell Group","Still us five to car place science represent party building economic son find trouble.","2025-01-08T17:25:55.667302","","Monthly","ACT-1734445555-I6XIHC","True","Gordon-Morales","Virtual (Online)","209","Training materials, Equipment, Refreshments","EH-2024-WHQJ, AH-2024-4ZZH, CB-2024-1ZGW, GM-2024-PCWL, JB-2024-J6LA, JT-2024-YVAV, JC-2024-42NF, SB-2024-DX0P, TC-2024-DBY9, AG-2024-0H9Z, AP-2024-SM56, MC-2024-YF3L, KK-2024-FFT6, SG-2024-W0O0, WM-2024-9IS2, SM-2024-DAEF","2025-01-04T17:25:55.667302","Number of participants, Engagement levels","Employees"
"Employee American entire increase government success though force sit candidate meet floor.","Integrated demand-driven Local Area Network","Employee Engagement","GA-2024-R0FV, KC-2024-DQZU, BC-2024-NNZA, DP-2024-YNUL, JS-2024-X267, AS-2024-PQEO, SR-2024-1JR5, MB-2024-A9ZU, MF-2024-848N, RB-2024-PKBP, AR-2024-QOVC, BR-2024-6113","","Jordan-Owens","Under at could sort increase responsibility least black do why long wear nearly safe suddenly almost everything firm anyone.","2025-01-18T17:25:55.667556","Survey","","ACT-1734445555-K6YLLW","False","","89412 Timothy Causeway, Reevesfurt, PR 15592","306","Training materials, Equipment, Refreshments","RB-2024-PKBP, GA-2024-R0FV, MB-2024-A9ZU, AR-2024-QOVC, MF-2024-848N, KC-2024-DQZU, DP-2024-YNUL, JS-2024-X267, BC-2024-NNZA, WG-2024-DEQN, BR-2024-6113, SR-2024-1JR5, AS-2024-PQEO","2025-01-14T17:25:55.667556","Number of participants, Engagement levels","Students"
"Or series hear industry wife least hair argue through democratic oil.","Switchable next generation knowledgebase","Recruitment","CH-2024-6AAT, SK-2024-XWCV, SM-2024-VCUK, AH-2024-4ZZH, AG-2024-MRMI, AG-2024-SQFB, AC-2024-ECLV, MB-2024-A9ZU, CB-2024-S8TU, TM-2024-LW1H, RR-2024-TSFF, SS-2024-1P14","$42374","Kelly Group","Most area why remain man meet occur real pretty tell set American forget inside produce base design quality share impact.","2025-01-06T17:25:55.667854","Feedback Form","","ACT-1734445555-XW2G0G","False","","Virtual (Online)","375","","RR-2024-TSFF, AH-2024-4ZZH, AG-2024-MRMI, TM-2024-LW1H, SK-2024-XWCV, MB-2024-A9ZU, SS-2024-1P14, CH-2024-6AAT, AG-2024-SQFB, SM-2024-VCUK, AC-2024-ECLV, CB-2024-S8TU","2025-01-04T17:25:55.667854","Number of participants, Engagement levels","Public"
"Sort director positive leader indicate he right.","Persistent disintermediate middleware","Employee Engagement","","$13436","Grimes-Johns","Some agent difficult phone now heart future any daughter whatever.","2025-01-08T17:25:55.667925","Feedback Form","","ACT-1734445555-JEYQK6","False","Ward-Flores","Virtual (Online)","137","Training materials, Equipment, Refreshments","AB-2024-A9ZC, VT-2024-VY1N, JC-2024-MNNZ, JG-2024-3HFD, CF-2024-KX2C, LM-2024-HMIQ, LP-2024-274P, KM-2024-02ER","2025-01-05T17:25:55.667925","Number of participants, Engagement levels","Students"
"Partner sell eye minute grow physical.","Advanced well-modulated flexibility","Employee Engagement","DN-2024-YBSQ, KM-2024-OGXL, JC-2024-XLAT, DF-2024-XCW2, DM-2024-4TNI, GB-2024-FBBM, SN-2024-M310, EM-2024-5LYI, EB-2024-TE9N, VH-2024-04K3","$90415","Hanson, Lara and Pratt","Professional present health speak around by right partner he beyond off economic.","2024-12-30T17:25:55.668176","Feedback Form","","ACT-1734445555-QPSLLB","False","Callahan, Moss and Smith, Smith-Mason, Taylor, Jennings and Levy","204 Jackson Spring, Port Brent, TN 74739","377","Training materials, Equipment, Refreshments","GB-2024-FBBM, KM-2024-OGXL, VH-2024-04K3, DF-2024-XCW2, JP-2024-JAEV, SS-2024-1P14, VT-2024-X9JD, EM-2024-5LYI, DM-2024-4TNI, DN-2024-YBSQ, JC-2024-XLAT, AM-2024-1GPL, VJ-2024-X4LG, EB-2024-TE9N, SN-2024-M310","2024-12-26T17:25:55.668176","Number of participants, Engagement levels","Youth"
"Exist mind set heavy suggest reach future poor material piece letter.","User-centric homogeneous parallelism","Networking","SD-2024-Q3S2, CH-2024-8PDG","","Jones PLC","Story several white reveal brother lead adult west probably recognize PM manage themselves heavy raise range half more rock.","2025-01-19T17:25:55.669142","Feedback Form","","ACT-1734445555-WJ358P","False","","55560 Powell Wall, Mckinneytown, AR 97405","440","","SD-2024-Q3S2, SG-2024-KYP3, JR-2024-M381, SB-2024-0X44, SM-2024-VCUK, JS-2024-FTWB, CH-2024-8PDG, MM-2024-BSVD","2025-01-15T17:25:55.669142","Number of participants, Engagement levels","Customers"
"Rest book minute fire who recognize degree second must.","Configurable non-volatile access","Recruitment","KT-2024-DKTL, DC-2024-2WKF, LB-2024-ULGV","$51534","Wells, Kelly and Robinson","Rise floor eight happy center force bank report race modern Congress smile floor since must full college school.","2025-01-16T17:25:55.669422","Feedback Form","","ACT-1734445555-4INN05","False","Gates PLC, Owens PLC, Combs, Porter and Walton","4180 Maureen Stravenue Apt. 824, Walkerstad, MN 58704","247","Training materials, Equipment, Refreshments","WP-2024-LR67, LB-2024-ULGV, DC-2024-2WKF, KT-2024-DKTL","2025-01-14T17:25:55.669422","Number of participants, Engagement levels","Partners"
"Left minute from like ready upon possible structure.","Adaptive content-based access","Networking","MB-2024-B6HL","","Lewis, Gomez and Church","Require perform maybe scientist avoid threat level maintain no trip cause history several American model our tonight.","2025-01-02T17:25:55.670120","","Annually","ACT-1734445555-PRJLNI","True","Snyder-Rodriguez, Lee-Snyder, Richardson, George and Johnson","24610 Elizabeth Flats Apt. 284, Barnettland, MT 53708","457","Training materials, Equipment, Refreshments","TH-2024-E7SX, MB-2024-7XMZ, SM-2024-WOD5, AB-2024-U1Q9, VC-2024-XEBK, MB-2024-B6HL, AC-2024-ECLV, MG-2024-D514, TP-2024-P27U, MB-2024-CQOF, AD-2024-KSDG, KF-2024-UPLH, VA-2024-W2RQ, JS-2024-FTWB, SW-2024-ZI8Y, JT-2024-637G, DM-2024-4TNI, JZ-2024-77IR, CS-2024-GR5Z, AR-2024-D87L","2024-12-28T17:25:55.670120","Number of participants, Engagement levels","Public"
"Life as building fact growth important decision happen spring type will.","Automated mobile contingency","Networking","MM-2024-AANQ, HS-2024-H0J4, LS-2024-CGQQ, JM-2024-VP8S, CB-2024-12Y8, AF-2024-OR8C, MM-2024-IW8V, ML-2024-SVVG, MP-2024-59VQ, GB-2024-PV64, AR-2024-5IVP, CS-2024-9AXS, SB-2024-RY3O, SS-2024-UWWA","$51501","Fisher LLC","Area begin interesting nature maybe relationship line suggest rich treatment.","2024-12-23T17:25:55.670992","","Annually","ACT-1734445555-QG06EM","True","Thompson-Gibbs","32480 Lewis Shoal Apt. 541, Olsonland, MH 95260","77","Training materials, Equipment, Refreshments","AR-2024-5IVP, SS-2024-UWWA, AF-2024-OR8C, HS-2024-H0J4, SB-2024-RY3O, ML-2024-SVVG, LS-2024-CGQQ, GB-2024-PV64, JM-2024-VP8S, CF-2024-CNE1, MP-2024-59VQ, MM-2024-IW8V, CS-2024-9AXS, MM-2024-AANQ, CB-2024-12Y8","2024-12-22T17:25:55.670992","Number of participants, Engagement levels","Public"
"What behind former second certainly ask right study sometimes.","Future-proofed high-level middleware","Workshop","MF-2024-848N, AP-2024-PC3G, SS-2024-1P14, DM-2024-4TNI, BN-2024-ZZIB","","Mcdonald and Sons","Anything none college use cold poor notice develop fine these fire.","2024-12-29T17:25:55.671807","Feedback Form","Weekly","ACT-1734445555-GF7SBN","True","Pace Ltd, Dickerson Group, Franco, Schneider and Hood","Virtual (Online)","293","","MF-2024-848N, DM-2024-4TNI, CC-2024-XMNX, BN-2024-ZZIB, CG-2024-ASBT, SS-2024-1P14, EZ-2024-EN0N, AP-2024-PC3G, GG-2024-4CP9, JS-2024-G2NQ","2024-12-27T17:25:55.671807","Number of participants, Engagement levels","Volunteers"
